,stockpx,iv30,iv60,diff,"diff, %",iv90,m1atmiv,m1dtex,m2atmiv,m2dtex,m3atmiv,m3dtex,m4atmiv,m4dtex,slope,deriv,slope_inf,deriv_inf,10dclsHV,20dclsHV,60dclsHV,120dclsHV,252dclsHV,10dORHV,20dORHV,60dORHV,120dORHV,252dORHV
SARK,33.81,38.24,37.55,0.69,2%,37.99,39.45,12,37.81,40,37.48,68,39.19,159,-1.90055,0.0548,-3.39161,0.0618,36.04,32.78,31.86,41,51.07,37.17,33.82,34.48,43.43,52.52
CMA,46.13,48.25,47.56,0.69,1%,47.33,51.47,12,46.94,40,47.25,103,47.24,194,3.66287,0.1235,5.21297,0.1744,29.69,39.93,75.35,77.17,58.09,43.07,54.23,78.65,92.46,68.24
MNST,55.53,23.33,22.65,0.68,3%,21.77,18.7,12,24.98,40,21.96,68,21.33,159,2.43939,0.2291,2.82585,0.2022,14.28,17.01,17.42,17.88,21.4,17.32,18.34,18.91,20.08,23.05
SONY,89.64,26.98,26.32,0.66,2%,25.36,22.08,12,27.78,40,25.02,103,24.97,194,2.20502,0.096,2.98281,0.138,15.74,18.11,25.18,24.22,27.4,13.52,15.41,19.2,29.43,27.85
HAL,37.52,38.28,37.63,0.65,2%,38.05,41.21,12,37.86,40,37.51,68,38.3,103,1.02799,0.0726,2.26045,0.0967,40.52,40.47,42.8,43.8,46.55,48.13,43.01,43.15,45.51,47.73
KO,59.52,14.87,14.25,0.62,4%,14.47,13.29,12,13.97,40,14.47,68,14.46,131,3.65871,0.1173,5.81569,0.1573,11.08,11.73,10.73,12.1,14.77,13.09,13.15,12.5,14.89,17.06
HSBC,39.05,21.72,21.12,0.6,3%,20.73,18.53,12,22.68,40,20.55,68,21.13,159,3.40839,0.2019,3.68457,0.1442,14.11,14.51,18.83,21.49,26.31,11.71,11.96,15.56,17.58,20.8
EWJ,61.82,16.33,15.73,0.6,4%,15.55,16.55,12,16.25,40,15.58,68,15.48,159,2.79614,0.0891,5.58578,0.2581,12.86,16.06,16.31,15.15,17.33,10.43,12,12.01,12.22,14.68
QYLD,17.78,8.87,8.28,0.59,7%,7.07,7.61,12,9.32,40,5.73,131,10.4,194,0.55349,0.0211,3.5422,0.1352,7.39,8.62,8.16,9.43,14.63,8.07,8.5,7.35,9.17,14.43
CARR,53,25.83,25.24,0.59,2%,24.78,22.5,12,27.01,40,24.72,68,24.92,159,2.93911,0.0245,3.96135,0.0956,25.64,20.93,29.28,31.1,31.54,25.85,25.16,32.57,33.03,33.01
RWM,22.53,20.02,19.46,0.56,3%,18.95,20.33,12,19.91,40,18.77,103,19.38,194,-3.73496,0,-0.23155,0,16.44,16.12,19.42,20.47,22.93,17.82,17.1,19.27,21.19,23.4
IEFA,67.05,13.15,12.6,0.55,4%,12.63,13.36,12,13.07,40,12.46,68,13.02,159,5.82937,0.0525,6.77293,0.237,14.08,13.77,13.94,14.2,18.27,10.87,10.65,10.86,12.21,16.02
BSV,75.32,3.64,3.09,0.55,15%,3.16,5.14,12,3.11,40,3.08,68,3.35,159,0,0,0,0,2.8,2.73,3.38,3.94,3.78,2.75,3.02,3.27,3.56,3.47
AGL,17.34,56.05,55.5,0.55,1%,51.73,48.44,12,58.75,40,50.4,103,50.14,159,2.1863,0.0812,3.21292,0.0626,40.24,55.62,46.56,54.29,53.51,46.94,58.13,53.6,58.03,58.72
OLPX,4.13,64.69,64.15,0.54,1%,62.75,53.14,12,68.79,40,62.79,68,62.65,159,1.28182,0,-0.07628,0,45.28,41.61,53.19,55.1,82.24,57.68,51.77,65.29,67.94,86.51
IWM,189.8,18.98,18.47,0.51,3%,18.33,19.91,12,18.65,40,18.38,68,18.32,103,3.21258,0.0945,5.70732,0.1694,16.01,15.59,18.93,20.39,22.92,17.89,17.16,19.3,21.49,23.64
VCSH,75.42,6.2,5.69,0.51,8%,5.89,8.13,12,5.52,40,6.11,131,6.57,222,-0.05955,0,-1.84008,0,2.81,2.67,3.24,3.51,4.02,2.72,2.84,2.97,3.51,3.79
BIL,91.55,2.65,2.14,0.51,19%,1.67,2.95,12,2.54,40,2.03,68,1.51,103,0.05237,0,7.2934,0,0.15,0.18,1.13,1.2,1,0.26,0.26,0.7,0.74,0.63
HMY,4.08,49.73,49.23,0.5,1%,49.3,51.28,12,49.17,40,49.38,131,52.17,194,-0.00627,0,-1.68136,0.0006,43.49,41.59,39.14,47.01,55.9,43.58,41.58,40.41,45.38,53
CNK,15.94,51.5,51,0.5,1%,49.85,45.75,12,53.54,40,50.26,68,48.88,159,2.86898,0.0005,3.48928,0.1177,38.94,36.83,34.84,40.94,52.73,41.79,40.78,40.73,48.22,56.07
MCHI,45.31,26.28,25.79,0.49,2%,25.49,26.92,12,26.06,40,25.15,131,25.45,194,1.7126,0.0939,2.95893,0.113,24,26.03,26.21,26.03,31.28,18.24,19.44,20.07,20.4,24.66
GILD,76.12,22.56,22.07,0.49,2%,21.76,18.4,12,21.61,40,21.74,68,21.78,131,1.79461,0.1323,3.49158,0.1273,18.68,16.26,17.58,19.6,25.27,18.63,18.88,20.67,21.86,24.98
QQQ,368.17,18.95,18.46,0.49,3%,18.43,18.11,12,18.61,40,18.35,68,18.45,103,3.35774,0.0962,5.48622,0.1704,11.83,14.87,16.09,19.33,24.21,12.69,15.65,16.29,19.82,24.4
XBI,83.83,26.51,26.04,0.47,2%,26.24,26.91,12,26.27,40,25.99,68,26.35,103,2.69432,0.0657,3.68194,0.1005,20.38,20.77,26.32,27.74,33.39,21.6,23.7,28.17,30,36.13
IEF,95.28,9.82,9.36,0.46,5%,9.48,8.59,12,9.54,40,9.35,68,9.8,159,1.49663,0.0681,1.4319,0.095,7.85,7.68,8.62,9.75,10.22,7.06,7.02,7.34,8.34,8.82
TWM,13.58,39.03,38.58,0.45,1%,38.31,39.66,12,38.81,40,38.21,103,38.78,194,-3.52228,0.126,-3.27137,0.0118,33.36,31.81,38.01,40.66,45.92,36.02,34.13,38.41,42.21,46.86
VTIP,46.95,4.65,4.2,0.45,10%,4.03,5.48,12,4.36,40,3.83,131,3.89,222,0.00835,0,5.57647,0,2.24,2.3,2.46,3.43,4.37,2.33,2.47,2.56,3.24,3.78
MAC,12.11,39.31,38.87,0.44,1%,38.49,34.86,12,40.89,40,38.28,68,39,159,3.89705,0.0159,5.14861,0.2102,32.87,34.03,43.98,41.54,43.75,41.04,39.87,47.58,45.68,45.96
UAA,7.85,49.16,48.72,0.44,1%,46.04,36.7,12,52.4,40,45.09,103,46.08,194,2.42944,0.0764,2.60151,0.0725,29.57,31.44,39.27,39.74,48.57,35.78,34.79,41.51,43.41,50.08
BMY,62.79,19.65,19.21,0.44,2%,19.2,18.11,12,19.51,40,19.27,68,19.02,159,3.30365,0.0944,5.08902,0.1247,10.63,12.61,16.15,16.82,19.74,16.58,16.8,18.86,19.81,22.07
AG,5.82,46.96,46.53,0.43,1%,46.33,48.66,12,49.13,40,46.26,103,49.03,194,-0.20533,0.122,-0.61454,0.1763,35.31,30.94,30.83,54.05,57.16,38.96,35.43,38.1,53.19,57.59
MUFG,7.48,25.94,25.51,0.43,2%,24.57,24.88,12,26.31,40,23.54,131,30.15,222,0,0,0,0,24.27,24.35,30.88,29.71,31.8,19.35,18.23,23.38,23.8,24.98
TOST,23.5,51.03,50.6,0.43,1%,49.64,42.16,12,53.42,40,49.36,68,50.31,159,1.9502,0.0492,2.66689,0.0467,22.11,36.67,46.58,59.85,62.43,35.51,42.69,50.07,58.05,65.77
HBM,4.95,48.52,48.1,0.42,1%,47.62,48.5,12,48.52,40,47.45,103,48.7,194,-0.00077,0,-0.42337,0,51.98,48.64,53.49,49.97,61.33,42.11,43.2,49.26,50.81,59.93
STWD,20.42,24.43,24.01,0.42,2%,24.43,25.1,12,24.19,40,23.95,68,25.56,159,5.66753,0.0728,6.80744,0.1656,20.51,27.93,32.02,31.77,31.01,27.44,28.86,32.8,33.31,32.14
TMF,7.11,46.25,45.85,0.4,1%,46.8,45.95,12,44.36,40,47.84,131,49.38,194,1.1105,0.0397,-0.88362,0.0876,37.84,37.68,43.72,48.52,56.31,37.81,36.34,39.44,45.28,51.39
GSK,34.12,20.67,20.28,0.39,2%,20.21,18.65,12,21.58,40,20.14,131,19.49,194,2.90424,0.1308,4.50051,0.1504,13.66,24.82,19.17,18.87,28.35,14.48,19.16,17.08,16.83,24.6
KHC,35.63,20.47,20.08,0.39,2%,19.28,15.53,12,19.02,40,19,103,19.48,194,2.44026,0.0418,4.62841,0.1804,12.48,12.1,14.16,16.82,19.85,13.22,15,16.35,18.89,22.1
COHR,50.86,52.59,52.2,0.39,1%,50.91,50.53,12,53.32,40,50.45,103,50.1,194,0.30766,0.0907,1.1993,0.07,44.69,89.52,71.34,60.35,100.16,56.5,85.84,71.24,60.5,120.85
XLB,82.02,16.22,15.83,0.39,2%,16.06,16.06,12,15.84,40,15.8,68,16.67,159,4.68704,0.1039,5.84195,0.2162,18.12,17.56,17.14,18.09,21.94,17.67,17,16.41,18.53,21.72
XLF,34.14,14.67,14.3,0.37,3%,14.53,16.03,12,15.11,40,14.26,68,14.36,103,4.9394,0.1627,7.49168,0.2613,11.46,11.94,15.33,18.84,20.72,12.77,12.94,15.39,18.82,21.06
WTI,4.09,60.15,59.78,0.37,1%,57.36,55.31,12,61.87,40,56.51,103,59.24,194,0.41897,0.0006,1.1006,0.0686,39.14,41.46,44.7,54.52,71,46.67,45.17,49.37,58.33,73.09
YANG,10.67,83.3,82.94,0.36,0%,83.6,85.89,12,82.38,40,83.83,103,84.14,194,-2.11731,0.1221,-3.41451,0.1168,77.34,80.5,83.76,83.4,99.52,58.08,59.39,63.92,65.1,79.39
AVTR,20.63,38.49,38.13,0.36,1%,35.79,33.8,12,40.16,40,33.21,131,32.99,194,1.43781,0.0005,2.71258,0.1552,21.65,24.29,31.71,32.22,37,29.24,32.76,35.51,36.25,38.88
BNDX,48.23,7.99,7.64,0.35,4%,7.46,7.74,12,8.07,40,7.51,68,7.35,159,-0.01049,0.0016,-2.99944,0.4533,3.54,4.18,5.32,5.94,6.69,3.68,3.76,4.33,4.8,5.37
MLCO,13.04,50.58,50.24,0.34,1%,49.28,49.02,12,51,40,48.94,103,47.74,194,1.62404,0.1434,2.92081,0.082,54.05,41.31,44.27,43.02,68.28,50.11,42.65,49.45,48.57,69.71
USMV,74.14,9.92,9.59,0.33,3%,9.6,9.62,12,10.03,40,9.46,68,9.92,159,6.47774,0.1237,8.23872,0.3915,9.11,9.24,9.31,10.55,14.37,9.17,9.32,9.39,11.43,14.75
UEC,3.17,56.84,56.53,0.31,1%,56.09,56.66,12,56.91,40,55.6,131,55.04,194,-0.70717,0.0016,-0.52036,0.113,22.49,29.13,52.82,54.56,63.6,35.02,46.05,57.76,62.2,69.43
CPG,7.15,35.99,35.68,0.31,1%,35.97,37.57,12,35.43,40,36.07,103,36.8,194,0.00671,0.0014,1.00212,0.2135,30.08,37.1,35.72,40.29,48.08,34.33,36.86,35.64,41.06,49.26
ARKG,35.31,36.63,36.33,0.3,1%,36.22,38.06,12,36.35,40,36.18,103,36.55,194,1.44257,0.0384,2.53961,0.079,35.01,34.27,32.4,37.68,43.93,34.3,33.91,35.44,40.21,47.19
ICLN,18.22,21.92,21.62,0.3,1%,21.58,20.68,12,22.74,40,21.56,103,21.49,194,2.13225,0.0568,3.36755,0.0502,21.17,19.93,19.94,21.36,27.05,19.39,19.36,19.42,21.97,26.92
HBAN,11.03,33.11,32.81,0.3,1%,33.46,39.63,12,30.32,40,33.69,103,32.26,194,4.65171,0.1248,6.59605,0.1996,20.84,27.82,38.3,43.05,37.18,25.85,32.47,40.55,47.85,40.22
DVN,50.56,35.86,35.56,0.3,1%,35.15,28.42,12,35.61,40,35.93,68,34.79,103,1.73321,0.0634,3.34727,0.0817,23.12,26.05,30.9,37.85,44.47,28.73,29.21,31.98,37.31,44.58
PR,11.42,47.17,46.89,0.28,1%,44.1,41.21,12,49.29,40,43.13,103,45.75,194,2.78984,0.1078,1.27537,0.0931,28.96,39.72,44.5,55.17,58.31,37.39,44.82,46.11,54.95,61.46
IVZ,17.56,30.71,30.43,0.28,1%,29.16,28.46,12,31.52,40,28.72,103,29.34,194,3.4574,0.0013,3.81537,0.0615,21.69,24.49,25.7,30.63,38.51,28.79,28.83,31.65,35.52,39.4
SPTI,28.06,6.98,6.72,0.26,4%,6.89,8.09,12,6.58,40,7.07,131,6.98,222,0.01845,0,8.23898,0,5.7,5.51,6.5,7.42,7.31,5.18,5.29,5.57,6.3,6.28
TLT,99.72,15.59,15.33,0.26,2%,15.78,14.78,12,15.23,40,15.34,68,15.87,103,1.12508,0.0664,0.62753,0.067,13.88,13.46,15.6,16.9,19.16,12.89,12.38,13.53,15.43,17.32
NRG,37.99,32.29,32.03,0.26,1%,32.3,28.92,12,33.49,40,31.61,68,33.96,159,1.59408,0.0859,2.69312,0.109,16.76,21.2,30.15,31.48,34.11,25.26,28.13,35.63,34.81,35.25
BE,17.67,64.7,64.45,0.25,0%,60.56,55.96,12,67.8,40,59.19,103,61.45,131,1.14191,0.0512,2.1612,0.0668,46.37,61.96,62.23,56.43,65.63,54.53,64.27,65.51,63.17,68.95
IEI,114.56,6.03,5.78,0.25,4%,6.65,6.25,12,5.95,40,5.73,68,7.09,103,0.05419,0.1127,1.61177,0.1612,5.04,4.89,5.8,6.77,6.57,4.51,4.69,5,5.75,5.62
SLM,16.49,32.63,32.39,0.24,1%,31.49,31.14,12,33.16,40,31.18,103,31.45,194,0.54354,0.4393,3.93836,0.4007,23.6,21.06,30.19,42.36,39.41,23.72,22.11,32.83,43.01,41
ZI,26.9,53.41,53.18,0.23,0%,50.03,46.4,12,55.9,40,48.92,103,48.23,194,2.14048,0.0695,2.48602,0.0801,47.97,61.08,50.99,50.46,61.53,43.87,55.97,52.26,53.34,62.75
BKD,4.31,70.29,70.07,0.22,0%,68.79,67.79,12,71.18,40,68.34,103,68.77,194,2.17221,0.0033,-0.02908,0.0823,27.52,29.35,41.18,71.27,73.55,38.37,40.84,50.85,68.92,73.38
XRT,66.39,23.85,23.63,0.22,1%,24.5,23.57,12,23.87,40,23.57,68,26.7,159,1.56608,0.072,4.22566,0.0995,15.69,18.44,23.87,25.68,29.42,19.39,21.26,24.12,26.75,30.44
RTX,98.03,19.05,18.83,0.22,1%,18.71,17.17,12,19.63,40,18.57,131,18.67,194,3.50359,0.0827,5.09036,0.1551,11.55,16.6,17.91,18.95,21.88,14.86,18.92,19.26,29.2,27.8
VEU,54.13,13.05,12.83,0.22,2%,13.37,14.33,12,12.6,40,12.89,68,14.51,159,6.44245,0.1387,-0.1464,0.2584,14.62,14.21,13.06,13.31,17.13,11.01,10.61,10.31,11.61,15.09
VGK,61.04,14.98,14.76,0.22,1%,14.85,14.82,12,15.03,40,14.69,68,15.23,159,7.6511,0.1446,7.30822,0.271,16.04,14.55,13.48,15.3,20.53,11.94,11.16,10.84,13.04,17.68
XLI,108.98,14.09,13.88,0.21,1%,14.43,13.36,12,13.79,40,13.89,68,15.23,131,5.27072,0.1266,7.36708,0.2349,11.59,12.84,15.49,16.38,19.13,13.24,13.7,15.36,16.98,19.35
CTVA,54.52,26.13,25.92,0.21,1%,25.53,20,12,28.31,40,25.23,68,25.99,131,4.13342,0.0044,2.96305,0.2491,32.44,29.58,26.69,26.24,26.55,32.21,29.06,27.1,26.92,28.05
TNDM,27.15,72.99,72.78,0.21,0%,69.45,65.54,12,75.64,40,65.79,131,59.37,194,0.64122,0.0001,0.43689,0.0528,53.27,48.75,54.17,53.71,64.92,64,57.02,60.63,59.03,67.02
EFA,71.74,13.11,12.91,0.2,2%,12.79,12.81,12,12.86,40,12.9,68,12.97,103,5.07272,0.1442,6.49901,0.3027,14.12,13.74,13.83,14.15,18.17,10.84,10.66,10.82,12.21,15.98
TCOM,35.88,37.29,37.09,0.2,1%,37.1,37.77,12,37.12,40,37.09,68,37.14,159,1.41412,0.0047,2.09105,0.0755,29.58,28.99,35.64,37.47,50.18,29.3,30,34.82,37.27,48.92
ASHR,27.13,19.77,19.58,0.19,1%,19.38,19.29,12,19.73,40,19.31,103,20.27,194,1.67681,0.065,2.12402,0.086,12.61,15.64,16.94,18.18,21.98,9.46,10.77,11.89,13.08,15.64
IJR,100.6,18.17,17.99,0.18,1%,18.03,18.79,12,17.95,40,18.07,131,18.17,222,3.74535,0.0818,5.53774,0.1452,17.18,16.28,20.14,21.02,22.35,18.12,17.72,20.15,21.56,22.75
DOW,53.42,24.22,24.04,0.18,1%,24.28,19.22,12,23.64,40,24.27,68,24.31,159,2.83564,0.057,4.12435,0.0513,12.35,17.03,23.92,22.78,26.84,19.37,22.33,24.9,25.2,28.14
HUT,3.75,113.78,113.61,0.17,0%,113.01,116.35,12,115.31,40,112.8,103,104.51,194,-0.17047,0.094,0.33116,0.0639,67.97,82.16,80.81,107.12,112.1,102.9,108.6,88.97,113.86,116.05
FND,109,38.93,38.77,0.16,0%,36.98,35.01,12,40.32,40,36.35,103,38.8,159,2.11282,0.1008,2.75684,0.0707,39.98,32.19,33.22,39.26,49.65,40.2,36.34,36.54,42.94,51.53
ALK,56.34,27.75,27.6,0.15,1%,27.28,27.4,12,27.88,40,27.17,103,27.18,194,2.47396,0.0681,3.50766,0.1162,24.9,23.8,26.68,28.89,32.51,31.21,27.25,29.5,33.1,35.24
GOVT,22.68,8.99,8.85,0.14,2%,8.9,7.21,12,9.62,40,8.63,68,9.53,159,3.37627,0,2.21882,0,5.14,5.14,6.43,7.33,7.38,5,5.1,5.61,6.38,6.53
SPAB,25.11,7.73,7.59,0.14,2%,7.35,7.52,12,7.8,40,7.08,131,7.19,222,0.00718,0,3.72797,0,6.08,5.48,6.47,7.01,7.62,5.44,5.29,5.64,6.31,6.88
RXRX,6.78,92.56,92.43,0.13,0%,89.8,91.1,12,93.08,40,92.25,68,84,159,0.06952,0.0006,0.10995,0.1091,67.56,70.56,102.24,85.23,86.15,72.92,81.18,115.36,96.71,95.71
CBRE,83.8,23.01,22.89,0.12,1%,22.99,20.23,12,24,40,22.56,68,24.02,159,4.38904,0.0867,4.69769,0.1952,16.46,18.72,27.03,28.63,30.88,26.53,23.65,29.12,30.15,31.03
STLA,18,28.12,28.01,0.11,0%,27.79,26.63,12,28.65,40,27.82,68,27.72,159,2.59896,0.0075,3.49819,0.0958,21.41,22.3,29.2,29.84,33.34,18.7,17.97,22.27,23.85,27.63
GDX,30.24,28.99,28.88,0.11,0%,29.42,28.23,12,29,40,28.84,68,29.69,103,0.75501,0.0807,0.59111,0.0822,28.76,25.89,26.49,29.83,36.52,28.8,27.19,28.19,30.31,35.21
MAS,57.77,26.69,26.59,0.1,0%,25.07,23.3,12,27.9,40,24.53,103,24.99,159,3.38755,0.0011,3.50045,0.0676,24.44,21.53,26.75,29.02,33.93,24.42,23.76,28.69,30.96,33.87
BSX,52.45,20.05,19.96,0.09,0%,19.67,19.62,12,20.2,40,19.35,131,19.77,194,3.55265,0.1102,4.25303,0.1303,12.16,19.36,19.58,17.93,20.84,14.47,17.7,22.15,20.54,23.08
XOM,105.97,24.27,24.18,0.09,0%,24.03,21.95,12,25.64,40,23.93,68,24.08,103,2.21879,0.0637,3.74023,0.086,22.56,20.9,23.42,27.13,29.39,22.9,22.99,24.65,34.85,33.14
IYR,88.18,16.35,16.27,0.08,0%,16.58,16.14,12,16.06,40,16.29,68,17.01,131,4.25133,0.1289,5.91699,0.2515,10.05,14.42,16.97,19.16,22.58,17.12,17.82,18.58,20.6,22.78
HYG,74.62,7.81,7.73,0.08,1%,8.26,7.59,12,7.37,40,7.82,68,8.46,103,5.54682,0.0954,5.43883,0.1882,6.8,5.63,5.98,7.88,10.62,6.33,5.54,6,7.93,10.23
BMBL,18.61,60.41,60.33,0.08,0%,56.11,50.35,12,63.98,40,54.62,103,54.86,194,1.20077,0.1121,1.7592,0.0596,46.96,38.94,48.17,50.3,57.84,49.92,42.82,54.93,57.22,65.9
CL,75.39,17.59,17.51,0.08,0%,17.03,16.68,12,17.91,40,16.51,131,16.19,194,2.52618,0.004,4.51806,0.1202,12.31,13.13,14.65,17.16,17.42,15.75,15.32,15.81,17.64,19.13
QLD,63.84,36.89,36.82,0.07,0%,36.62,36.55,12,37.01,40,36.54,103,37.4,159,3.90041,0.1158,5.08035,0.1651,23.7,29.62,32.12,38.8,48.53,25.15,31.07,32.09,39.35,48.56
QQQE,77.91,18.35,18.28,0.07,0%,18.31,17.28,12,18.73,40,18.14,68,18.69,159,3.9026,0.1491,5.15715,0.1842,14.87,14.98,14.65,17.98,22.62,13.98,13.98,14.1,17.78,21.99
SPIB,31.91,8.49,8.43,0.06,1%,7.52,6.46,12,9.22,40,6.52,131,7.59,222,-0.00119,0.0004,-0.64232,0.2077,4.67,4.24,4.97,5.17,6.14,4.26,4.57,4.61,4.94,5.65
XLV,130.05,12.22,12.16,0.06,0%,12.35,12.19,12,11.96,40,12.21,68,12.41,103,4.59707,0.1381,6.44133,0.1797,11.06,11.19,10.66,11.9,15.07,10.72,11.66,11.95,13.35,16.21
INDA,43.97,13.78,13.72,0.06,0%,13.8,12.68,12,13.63,40,13.6,68,14.28,159,4.08463,0.0701,3.6018,0.2465,6.36,7.06,8.4,11.65,14.27,6.61,6.56,7.03,9.36,11.71
TBT,31.3,31.11,31.07,0.04,0%,31.81,30.77,12,30.79,40,31.11,68,33.45,159,-1.41382,0.0871,-1.61578,0.0944,27.22,26.86,30.47,33.48,38.1,25.53,24.6,26.41,30.71,34.44
NKE,107.39,22.29,22.25,0.04,0%,24.78,22.13,12,21.84,40,22.13,68,26.03,103,2.50089,0.097,3.96733,0.1026,23.08,30.72,27.09,25.57,35.43,22.89,28.61,25.53,27.68,33.02
CVX,158.12,22.02,21.98,0.04,0%,22.01,19.11,12,23.36,40,21.66,68,22.85,159,2.91839,0.0429,4.07215,0.0879,16.8,18.41,21.46,24.14,28.05,19.37,20.77,21.99,24.74,27.85
IBN,23.05,17.5,17.47,0.03,0%,16.61,12.6,12,19.25,40,16.95,68,15.81,159,1.12813,0.1058,1.84647,0.3358,11.01,12.77,11.39,18.93,21.23,10.91,11.48,11.69,16.71,18.59
EZU,45.27,16.92,16.89,0.03,0%,17,17.26,12,16.8,40,17.12,131,17.95,222,6.37407,0.0821,7.48801,0.2525,18.61,16.27,15.27,16.91,22.5,13.57,12.29,11.99,14.14,19.26
VTEB,50.01,8.99,8.97,0.02,0%,8.43,7.73,12,9.43,40,7.84,131,8.82,222,0.0009,0.0001,4.44503,0.4469,3.19,2.72,4.01,4.09,4.47,3.02,2.78,3.63,3.74,4.09
NUGT,35.02,57.63,57.63,0,0%,58.15,55.77,12,57.47,40,57.42,68,59.86,159,0.78387,0.0769,-0.06654,0.1062,57.17,49.35,51.46,58.4,71.36,57.04,53.27,55.59,59.81,69.3
EEM,39.82,15.87,15.87,0,0%,16.01,16.38,12,15.85,40,15.81,68,16.11,103,3.48836,0.1071,5.08188,0.2427,16.02,15.62,15.3,15.43,18.43,12.21,11.71,11.96,12.92,15.7
VTI,220.71,12.27,12.28,-0.01,0%,12.61,11.59,12,12.52,40,12.21,68,13.57,159,6.46169,0.2924,7.74263,0.4085,9.63,10.8,12.15,14.62,18.92,9.74,10.62,12.33,15.22,19.09
SVXY,83.72,31.83,31.84,-0.01,0%,33.82,27.52,12,30.4,40,31.86,68,36.71,131,6.25645,0.2936,4.96791,0.0399,19.61,17.64,23.4,28.76,25.65,24.32,21.36,24.66,31.46,28.13
MU,63.6,33.02,33.05,-0.03,0%,34.39,32.12,12,32.74,40,33.05,68,35.02,103,0.5913,0.0765,1.75096,0.0813,35,30.1,37.54,39.91,40.56,39.93,36,37.76,39.41,41.85
CBD,4.62,42.65,42.69,-0.04,0%,41.97,40.25,12,43.5,40,42.45,68,40.84,159,0,0,0,0,84.38,71.35,55.74,52.19,58.3,72.79,60.33,51.73,50.74,53.66
TZA,25.18,58.37,58.41,-0.04,0%,58.96,59.39,12,58.03,40,59.15,103,61.62,194,-3.40516,0.1196,-3.26813,0.2165,49.92,48.01,57.55,61.79,69.16,54.59,51.81,58.36,64.04,70.84
XLU,65.92,14.53,14.57,-0.04,0%,15.01,14.03,12,14.59,40,14.64,68,15.87,159,4.12388,0.1273,5.87931,0.1525,15.05,15.35,14.23,16.84,19.75,16.53,16.99,16.5,19.28,21.04
LQD,106.59,9.15,9.2,-0.05,-1%,9.36,9.05,12,9.06,40,9.24,68,9.42,103,2.76041,0.0778,3.97262,0.1593,9.22,8.04,8.66,8.99,11.08,7.83,7.39,7.44,8.39,10.29
WPM,42.07,30.23,30.28,-0.05,0%,30.31,29.09,12,30.2,40,29.98,68,31.11,159,0.96972,0.0542,1.27819,0.0552,25.72,23.8,25.83,28.06,34.35,28.67,27.33,29.12,31.42,35.63
CCL,18.9,48.28,48.35,-0.07,0%,50,47.22,12,48.19,40,48.35,68,50.78,103,-0.44318,0.079,1.25098,0.083,69.26,74.15,57.83,54.78,66.99,71.1,69.06,57.16,56.14,67.74
IEMG,49.68,15.43,15.5,-0.07,0%,15.85,16.12,12,15.18,40,15.6,68,16.44,159,3.77858,0.1437,4.13963,0.0892,15.75,15.09,14.85,14.96,17.88,11.91,11.23,11.51,12.41,15.17
JNUG,33.75,64.33,64.4,-0.07,0%,65.19,62.97,12,64.26,40,64.37,68,67.13,159,1.0134,0.0559,0.33162,0.0678,63.3,55.2,56.04,63.47,79.14,64.02,59.78,62.36,67.02,78.13
CPNG,17.27,46.46,46.54,-0.08,0%,45.67,38.1,12,48.33,40,44.7,131,42.75,194,1.56209,0.0587,2.21735,0.0718,41.89,36.63,34.92,39.92,51.82,42.58,39.55,40.11,44.14,54.78
DUK,90.88,19.54,19.62,-0.08,0%,18.74,17.19,12,20.37,40,18.43,103,18.57,194,5.02274,0.0126,5.12544,0.1229,17.13,15.7,16.07,18.28,20.78,17.85,18.17,18.64,21.02,22.66
XPO,59.52,42.35,42.44,-0.09,0%,41.59,40.07,12,43.17,40,40.66,131,39.99,194,1.28421,0.0876,1.94665,0.0939,41.28,38.74,50.68,53.44,62.72,43.88,42,45.06,51.13,57.44
EWZ,31.7,27.78,27.87,-0.09,0%,27.96,29.22,12,27.51,40,27.94,68,28.63,159,2.5298,0.075,3.65927,0.1117,26.62,23.35,24.93,25.91,34.85,24.72,21.92,23.62,25.4,31.65
WY,34.04,22.38,22.48,-0.1,0%,22.2,21.42,12,22.73,40,22.11,103,22.82,194,2.43319,0.1628,4.01179,0.1759,27.32,23.36,21.76,24.21,27.39,28.17,25.08,23.84,26.05,28.86
VNQ,85.29,16.24,16.34,-0.1,-1%,16.83,16.14,12,16.27,40,16.36,68,17.96,159,4.47759,0.1202,6.85229,0.1243,10.47,15.02,17.43,19.43,22.66,17.67,18.2,18.99,20.84,22.91
XOP,133.03,28.9,29,-0.1,0%,29.77,27.67,12,28.94,40,29.13,68,31.28,159,1.82588,0.0703,3.73383,0.0926,23.28,25.88,29.35,32.68,37.47,28.56,28.43,30.08,34.14,38.93
AZEK,29.91,38.23,38.34,-0.11,0%,37.75,33.38,12,39.95,40,37.87,68,37.47,159,0.52903,0,2.41374,0,30.95,29.82,33.83,36.64,46.38,32.33,34.48,37.3,40.93,49.7
TGNA,16.45,23.46,23.58,-0.12,-1%,22.8,21.24,12,24.25,40,22.53,103,24.76,194,4.57104,0.003,1.66164,0.0802,14.35,18.14,24.43,37.04,28.87,21.01,23.24,27.38,33.61,28.39
XLP,73.55,10.56,10.68,-0.12,-1%,10.9,9.96,12,10.5,40,10.72,68,11.34,159,4.8985,0.166,6.68472,0.2522,9.68,10.25,9.9,10.94,13.61,10.21,10.33,10.53,12.08,14.82
