,stockpx,iv30,iv60,diff,"diff, %",iv90,m1atmiv,m1dtex,m2atmiv,m2dtex,m3atmiv,m3dtex,m4atmiv,m4dtex,slope,deriv,slope_inf,deriv_inf,10dclsHV,20dclsHV,60dclsHV,120dclsHV,252dclsHV,10dORHV,20dORHV,60dORHV,120dORHV,252dORHV
LBRT,15.05,52.06,46.2,5.86,11%,45.85,66.44,12,46.95,40,45.98,68,45.55,159,2.57084,0.1376,0.79697,0.044,38.98,47.56,45.54,47.05,51.13,48.77,49.61,47.26,52.22,55.92
APPS,10.09,76.12,70.33,5.79,8%,68.2,58.48,12,79.85,40,68.06,68,68.54,159,-0.91763,0.0945,1.03977,0.121,56.85,59.11,102.73,91.6,94.74,64.4,58.19,91.05,82.98,85.13
ALLY,27.48,44.57,38.89,5.68,13%,38.43,58.58,12,41.93,40,38.06,68,39.31,159,3.26595,0.0191,4.23551,0.0982,25.45,28.86,32.02,50.33,46.91,29.49,32.02,35.72,49.34,47.04
TSLQ,31.28,56.46,50.8,5.66,10%,50.19,66.21,12,52.99,40,50.16,68,50.25,159,-1.12944,0.1083,-1.99882,0.1085,40.76,50.67,47.53,55.84,59.29,40.75,49.78,48.33,57.34,60.22
AMZN,128.78,39.94,34.35,5.59,14%,32.35,29.78,12,37.13,40,33.6,68,31.76,103,0.75749,0.0386,2.59618,0.0805,20.05,23.84,29.93,33.99,39.87,21.55,26.28,31.12,34.89,40.05
APLD,8.44,162.14,156.55,5.59,3%,149.04,143.23,12,164.93,40,146.4,103,134.79,194,1.62307,0.0963,1.5928,0.1025,160.62,160.28,160.28,160.28,160.28,165.89,191.34,191.34,191.34,191.34
INTC,33.3,42.83,37.25,5.58,13%,35.49,34.09,12,40.44,40,36.44,68,35.05,103,0.77373,0.0574,1.72768,0.1002,31.31,43.89,41.99,40.81,39.46,30.51,44.46,42.51,41.86,39.78
EXPE,116.96,44.48,38.96,5.52,12%,36.56,32.8,12,41.62,40,35.71,103,35.76,194,1.23736,0.033,2.50032,0.0595,29.99,29.8,33.74,36.95,42.7,34.62,31.03,35.96,38.35,43.93
TRIP,17.37,50.72,45.22,5.5,11%,43.97,38.9,12,49.37,40,44.53,68,42.66,159,1.7228,0.0762,3.50383,0.1249,35.08,35.61,38.52,39.12,48.56,38.6,36.51,40.57,40.59,46.75
FTNT,78.32,38.6,33.11,5.49,14%,31.35,27.11,12,35.37,40,32.28,68,30.91,103,1.87847,0.0379,3.02362,0.06,25.75,25.23,28.83,32.58,42.2,31.09,30.06,32.74,34.25,42.23
PACW,8.18,91.92,86.44,5.48,6%,85.45,83.04,12,88.59,40,85.19,68,86.06,159,4.85029,0.1737,6.01291,0.1686,50.18,54.9,236.94,198.64,140.29,62.8,68.56,204.27,192.14,135.96
NET,67.94,69.93,64.52,5.41,8%,63.28,56.99,12,66.8,40,61.92,131,58.64,194,0.40844,0.0407,1.55034,0.0598,44.82,46.68,70.83,69.61,80.94,51.48,51.59,65.83,68.09,78.49
ATVI,90.99,23.46,18.06,5.4,23%,15.24,38.86,12,20.93,40,12.14,131,10.6,194,7.15049,0.1851,4.89415,0.6268,49.59,36.94,34,30.08,23.48,48.68,36.51,29.05,25.74,21.23
TAL,6.49,74.35,69,5.35,7%,67.29,73.06,12,74.01,40,68.29,68,66.81,103,-0.29214,0.0667,0.29268,0.1039,47.12,61.37,66.86,66.29,84.48,50.52,59.7,70.88,73.55,89.34
JOBY,10.02,89.56,84.24,5.32,6%,80.38,95.18,12,87.56,40,79.02,103,79.83,194,-0.66146,0.0308,-0.31962,0.0693,208.07,163.17,109.26,88.92,76.59,181.42,137.86,101.77,84.17,76.59
